movie_tag,book_tag
007,
007 (series),
18th century,18th century
1920s,1920s
1930s,1930s
1950s,1950s
1960s,1960s
1970s,1970s
1980s,1980s
19th century,19th century
3d,
70mm,
80s,
9/11,
aardman,
aardman studios,
abortion,abortion
absurd,absurd
action,action
action packed,action packed
adaptation,adaptation
adapted from:book,
adapted from:comic,
adapted from:game,
addiction,addiction
adolescence,adolescence
adoption,adoption
adultery,adultery
adventure,adventure
affectionate,
afi 100,
afi 100 (laughs),
afi 100 (movie quotes),
africa,africa
afterlife,afterlife
aging,aging
aids,aids
airplane,
airport,
alaska,alaska
alcatraz,alcatraz
alcoholism,alcoholism
alien,
alien invasion,alien invasion
aliens,aliens
allegory,allegory
almodovar,
alone in the world,
alter ego,
alternate endings,
alternate history,alternate history
alternate reality,alternate reality
alternate universe,alternate universe
amazing cinematography,
amazing photography,
american civil war,
amnesia,amnesia
amy smart,
android(s)/cyborg(s),
androids,androids
animal movie,
animals,animals
animated,
animation,animation
anime,anime
antarctica,antarctica
anti-hero,
anti-semitism,anti semitism
anti-war,anti war
apocalypse,apocalypse
archaeology,archaeology
argentina,argentina
arms dealer,
arnold,
art,art
art house,
artificial intelligence,artificial intelligence
artist,
artistic,
artsy,
assassin,
assassination,assassination
assassins,assassins
astronauts,astronauts
atheism,atheism
atmospheric,
australia,australia
australian,australian
author:alan moore,
author:neil gaiman,
autism,autism
aviation,aviation
awesome,awesome
awesome soundtrack,
awful,
bad,
bad acting,
bad cgi,
bad ending,
bad plot,
bad science,
bad script,
bad sequel,
ballet,ballet
bank robbery,
baseball,baseball
based on a book,
based on a comic,
based on a play,
based on a true story,
based on a tv show,
based on a video game,
based on book,
based on comic,
based on true story,
basketball,basketball
batman,
bdsm,bdsm
beatles,
beautiful,beautiful
beautiful scenery,
beautifully filmed,
beauty pageant,
beer,beer
berlin,berlin
best of 2005,
best war films,
betrayal,betrayal
better than expected,
better than the american version,
biblical,biblical
big budget,
biographical,biographical
biography,biography
biopic,
birds,birds
biting,
bittersweet,
bizarre,bizarre
black and white,
black comedy,black comedy
blaxploitation,
bleak,
blindness,blindness
blood,
bloody,
boarding school,boarding school
boat,
bollywood,
bombs,
bond,
book,
book was better,
books,
boring,boring
boring!,
boston,boston
bowling,
boxing,boxing
brainwashing,brainwashing
brazil,brazil
breathtaking,
brilliant,
british,british
british comedy,
broadway,broadway
brothers,brothers
brutal,
brutality,
buddy movie,
bullshit history,
bullying,bullying
business,business
c.s. lewis,
california,california
camp,camp
campy,
canada,canada
cancer,cancer
cannibalism,cannibalism
caper,caper
capitalism,capitalism
car chase,
carrie-anne moss,
cars,cars
cartoon,
casino,
catastrophe,catastrophe
cathartic,
catholicism,catholicism
censorship,censorship
cerebral,
cgi,
character study,character study
chase,chase
cheating,cheating
cheerleading,cheerleading
cheesy,cheesy
chess,chess
chicago,chicago
chick flick,chick flick
child abuse,child abuse
childhood,childhood
children,children
china,china
chocolate,chocolate
chris tucker,
christian,christian
christianity,
christmas,christmas
cia,cia
cinematography,
circus,circus
civil war,civil war
classic,classic
classic car,
classical music,
claustrophobic,
claymation,
clever,
clones,clones
cloning,cloning
clowns,
coen bros,
coen brothers,
cold war,cold war
college,college
colonialism,colonialism
colourful,
comedy,comedy
comic,
comic book,
comic book adaption,
comics,comics
coming of age,coming of age
coming-of-age,
communism,communism
compassionate,
competition,competition
complex,
complex characters,
complicated,
complicated plot,
computer animation,
computer game,
computers,computers
con artists,
con men,
confrontational,
confusing,
conspiracy,conspiracy
conspiracy theory,
controversial,controversial
cooking,cooking
cool,cool
corny,
corporate america,
corruption,corruption
costume drama,
courage,courage
court,
courtroom,courtroom
courtroom drama,courtroom drama
crappy sequel,
crazy,crazy
creativity,creativity
creepy,creepy
crime,crime
crime gone awry,
criterion,
cross dressing,cross dressing
crude humor,crude humor
cuba,cuba
cult,cult
cult classic,
cult film,
culture clash,
cute,cute
cute!,
cyberpunk,cyberpunk
cyborgs,
cynical,
dance,dance
dancing,
dark,dark
dark comedy,
dark fantasy,dark fantasy
dark hero,
dark humor,dark humor
dc comics,
deadpan,
death,death
death penalty,death penalty
demons,demons
depp & burton,
depressing,depressing
depression,depression
desert,
destiny,destiny
detective,detective
devil,devil
dialogue,
dialogue driven,
dinosaurs,dinosaurs
directorial debut,
disability,disability
disappointing,disappointing
disaster,
disney,
disney animated feature,
distopia,
disturbing,disturbing
divorce,divorce
doctors,doctors
documentary,
dog,
dogs,dogs
dolphins,
downbeat,
dr. seuss,
dragon,
dragons,dragons
drama,drama
dramatic,
dreamlike,
dreams,dreams
dreamworks,
drinking,drinking
drug abuse,
drug addiction,
drugs,drugs
dumb,
dumb but funny,
dynamic cgi action,
dysfunctional family,
dystopia,dystopia
dystopic future,
earnest,
easily confused with other movie(s) (title),
east germany,
eccentricity,
ecology,ecology
educational,educational
eerie,
effects,
egypt,egypt
emma watson,
emotional,emotional
end of the world,end of the world
england,england
enigmatic,
ennio morricone,
enormously long battle scene,
ensemble cast,
entertaining,entertaining
entirely dialogue,
environment,environment
environmental,
epic,epic
erotic,erotic
espionage,espionage
ethnic conflict,
evolution,evolution
excellent,
excellent script,
exceptional acting,
exciting,
existentialism,existentialism
explosions,
factual,factual
fairy tale,
fairy tales,fairy tales
fake documentary,
family,
family bonds,
family drama,
fantasy,fantasy
fantasy world,
farce,
fascism,fascism
fashion,fashion
fast paced,
father daughter relationship,
father son relationship,
father-son relationship,
fbi,fbi
feel good movie,
feel-good,feel good
fight scenes,
fighting,fighting
fighting the system,
figure skating,
film noir,
finnish,finnish
firefly,
first contact,first contact
fish,fish
flashbacks,
food,food
football,football
forceful,
foreign,foreign
foul language,
fountain of youth,
france,france
franchise,
francis ford copolla,
free speech,
free to download,
freedom,freedom
french,french
friendship,friendship
frightening,
fun,fun
fun movie,
funniest movies,
funny,funny
funny as hell,funny as hell
future,future
futuristic,futuristic
gambling,gambling
gangs,gangs
gangster,
gangsters,gangsters
gay,gay
gay character,
geek,
geeks,geeks
genetics,genetics
genius,genius
genocide,genocide
george orwell,
german,german
germany,germany
ghosts,ghosts
ghosts/afterlife,
giant robots,
gilliam,
girlie movie,
glbt,
global warming,global warming
god,god
golden palm,
golf,
good,good
good acting,
good action,
good dialogue,
good music,
good romantic comedies,
good sequel,
good soundtrack,
good story,
good versus evil,
goofy,
gore,gore
goretastic,
gory,
goth,goth
gothic,gothic
graphic design,graphic design
graphic novel,
gratuitous violence,
great,great
great acting,
great cinematography,
great dialogue,
great ending,
great movie,
great music,
great soundtrack,
greed,
grim,
grindhouse,
gritty,gritty
gross-out,
gruesome,
guilt,guilt
guilty pleasure,
gulf war,
gunfight,
guns,
gypsy accent,
hackers,hackers
hacking,hacking
halloween,halloween
hallucinatory,
handycam,
hannibal lecter,
happy ending,
hard to watch,
harry potter,
harsh,
haunted house,haunted house
hawaii,hawaii
heartbreaking,heartbreaking
heartwarming,
heist,
heroin,heroin
heroine,
heroine in tight suit,
high fantasy,high fantasy
high school,high school
highly quotable,
hilarious,hilarious
hillarious,
hip hop,
historical,historical
history,history
hit men,
hitchcock,
hitman,hitman
holiday,
hollywood,hollywood
holocaust,holocaust
homeless,homeless
homophobia,
homosexuality,homosexuality
honest,
hong kong,hong kong
horrible,
horror,horror
horses,horses
hospital,hospital
hostage,
hotel,
humanity,humanity
humor,humor
humorous,
hunting,
idealism,
identity,identity
idiotic,
imaginary friend,
imagination,imagination
imdb top 250,
immigrants,immigrants
immortality,immortality
incest,incest
independent film,
india,india
indiana jones,
indians,
indie,indie
infidelity,infidelity
innocence lost,
insanity,insanity
inspirational,inspirational
inspiring,inspiring
intellectual,intellectual
intelligent,
intelligent sci-fi,
